Date,Close,High,Low,Open,Volume
2020-01-02,63.10222244262695,63.37081291224024,62.715142381796404,63.0311286878966,1416232
2020-01-03,63.441898345947266,64.13706933357673,63.39450251567679,63.963276586669366,1622784
2020-01-06,63.01533508300781,63.10223148030434,62.588760439655466,62.98374187211667,2129260
2020-01-07,64.14498138427734,64.14498138427734,63.339221924418936,63.84479766921995,2417468
2020-01-08,63.90798568725586,64.18447143574546,63.220715946492604,64.16077351829453,1719114
2020-01-09,64.37407684326172,64.65056266064708,64.12128894923241,64.38197816002666,3014295
2020-01-10,65.17192077636719,65.17192077636719,64.46490683313036,64.48465107848276,2875353
2020-01-13,65.1561279296875,65.23512299646038,64.56365588848507,64.85593823823842,1434635
2020-01-14,65.70120239257812,65.97768815777692,65.38521607794907,65.53531093345885,2703855
2020-01-15,66.08829498291016,66.17518535170451,65.64591168819734,65.64591168819734,2039328
2020-01-16,66.72025299072266,66.72025299072266,66.26207315029491,66.3568708497778,3058484
2020-01-17,66.3963623046875,67.11522517310115,66.3647630758542,66.94143242798629,2401336
2020-01-20,66.30158233642578,66.67286584076705,66.22258725670042,66.35687949492736,1980399
2020-01-21,65.94608306884766,66.26206329960792,65.72488846960428,66.26206329960792,1923944
2020-01-22,66.71236419677734,66.79926059754499,65.95400053939126,65.96190185589884,3656698
2020-01-23,66.76764678955078,67.10733100199367,66.56226082067818,66.70445435209467,2105704
2020-01-24,67.09943389892578,67.4628160189514,66.96513565898863,67.06783466758394,2839291
2020-01-28,66.37266540527344,66.4121659522404,65.99348667291461,66.1198775747218,2273413
2020-01-29,66.83875274658203,67.03624344586234,66.48327189865262,66.7044605175365,1877335
2020-01-30,67.49442291259766,67.49442291259766,66.89404950281931,67.02044041559813,3176161
2020-01-31,67.35223388671875,67.91310678372326,67.06784678021812,67.59712044017387,6713764
2020-02-03,66.79134368896484,67.10732392372866,66.40425765558685,66.47535742726437,2139581
2020-02-04,66.60175323486328,66.90194291777166,66.32921513935418,66.67285301179209,2564013
2020-02-05,65.78810119628906,67.14683818024646,65.78810119628906,67.14683818024646,3166202
2020-02-06,66.53855895996094,66.63335062399607,65.96188355368723,66.30156774599926,3581220
2020-02-07,66.98883819580078,66.98883819580078,66.31736509102863,66.84664467121735,3368097
2020-02-10,66.60966491699219,66.94144785580208,66.42007552723483,66.94144785580208,1818742
2020-02-11,66.9256591796875,67.14684783176429,66.7676629803907,66.98885765940622,1913033
2020-02-12,69.65892028808594,69.95910398386644,68.09479128453133,68.09479128453133,7132862
2020-02-13,70.09339141845703,70.09339141845703,69.4140230298524,69.90379603540204,4143011
2020-02-14,71.87871551513672,71.92611738279363,70.54368244373782,70.62267752058197,7942600
2020-02-17,70.67007446289062,71.79182024160204,70.50418299085061,71.72072647941552,2619663
2020-02-18,71.30204772949219,71.30204772949219,70.76487275643454,70.94656083481301,3817424
2020-02-19,70.95465087890625,71.21316694578832,70.68805445144714,71.10006655174674,8050978
2020-02-20,70.97081756591797,71.17278347029651,70.61536176539872,70.9546630055122,2902590
2020-02-21,71.73828887939453,71.73828887939453,70.71229867393514,70.97081477483255,2506023
2020-02-24,71.08391571044922,71.08391571044922,70.60727914981396,70.77692976445583,2432907
2020-02-25,70.12255096435547,70.51032197453574,69.355076977379,69.71861923337072,3475833
2020-02-26,68.9511489868164,69.51665713897786,68.7249481913556,68.93499442864467,3362264
2020-02-27,68.20791625976562,69.18543036529435,67.64241426929757,68.76534405287659,4435151
2020-02-28,66.06707000732422,66.721437410212,65.65505793418693,66.44676680379301,7654504
2020-03-02,65.00877380371094,65.25112914431885,63.6192476622595,64.6694726287544,4714534
2020-03-03,63.91008377075195,66.20441321662315,63.8939230487334,65.84087709682976,4537570
